:START_ID,:END_ID,:TYPE
Company:WMT,Initiative:WMT:commerce-websites-and-service,pursues
Initiative:WMT:commerce-websites-and-service,Capability:WMT:supply-chain,initiativeEnables
Company:WMT,RiskTheme:WMT:inflation,exposedTo
Company:WMT,RiskTheme:WMT:regulat,exposedTo
Company:WMT,RiskTheme:WMT:competi,exposedTo
Company:WMT,RiskTheme:WMT:supply-chain,exposedTo
Company:WMT,RiskTheme:WMT:cybersecurity,exposedTo
Company:TSN,Mission:TSN:mission,hasMission
Company:TSN,StrategicObjective:TSN:tyson-it-has-grown-under-four-generations-of-family-leadersh,statesObjective
Company:TSN,StrategicObjective:TSN:some-of-the-key-factors-influencing-our-business-are-custome,statesObjective
Company:TSN,StrategicObjective:TSN:we-take-a-comprehensive-and-holistic-approach-to-managing-na,statesObjective
Company:TSN,StrategicObjective:TSN:environmental-regulation-and-food-safety-environmental-regul,statesObjective
Company:TSN,Capability:TSN:supply-chain,buildsCapability
Capability:TSN:supply-chain,StrategicObjective:TSN:tyson-it-has-grown-under-four-generations-of-family-leadersh,supportsObjective
Company:TSN,Capability:TSN:logistics,buildsCapability
Capability:TSN:logistics,StrategicObjective:TSN:tyson-it-has-grown-under-four-generations-of-family-leadersh,supportsObjective
Company:TSN,Capability:TSN:manufacturing,buildsCapability
Capability:TSN:manufacturing,StrategicObjective:TSN:tyson-it-has-grown-under-four-generations-of-family-leadersh,supportsObjective
Company:TSN,Capability:TSN:research-and-development,buildsCapability
Capability:TSN:research-and-development,StrategicObjective:TSN:tyson-it-has-grown-under-four-generations-of-family-leadersh,supportsObjective
Company:TSN,Initiative:TSN:newly-hired-team-members-participate-in-orientation-program,pursues
Initiative:TSN:newly-hired-team-members-participate-in-orientation-program,Capability:TSN:supply-chain,initiativeEnables
Company:TSN,Initiative:TSN:this-program,pursues
Initiative:TSN:this-program,Capability:TSN:supply-chain,initiativeEnables
Company:TSN,Initiative:TSN:we-utilize-our-national-distribution-system-and-customer-sup,pursues
Initiative:TSN:we-utilize-our-national-distribution-system-and-customer-sup,Capability:TSN:supply-chain,initiativeEnables
Company:TSN,RiskTheme:TSN:economic,exposedTo
Company:TSN,RiskTheme:TSN:regulat,exposedTo
Company:TSN,RiskTheme:TSN:competi,exposedTo
Company:TSN,RiskTheme:TSN:supply-chain,exposedTo
Company:TSN,RiskTheme:TSN:cybersecurity,exposedTo
Company:MSFT,Mission:MSFT:mission,hasMission
Company:MSFT,RiskTheme:MSFT:legal,exposedTo
Company:MSFT,RiskTheme:MSFT:cybersecurity,exposedTo
